Date,Open,High,Low,Close
02/05/14, 1231.00, 1238.63, 1223.28, 1234.04
02/04/14, 1210.61, 1233.54, 1210.61, 1229.62
02/03/14, 1253.89, 1254.80, 1209.92, 1210.61
01/31/14, 1249.94, 1266.30, 1241.15, 1254.55
01/30/14, 1263.91, 1266.21, 1249.07, 1261.16
01/29/14, 1245.79, 1264.95, 1235.94, 1250.58
01/28/14, 1251.19, 1257.25, 1246.28, 1256.83
01/27/14, 1244.44, 1247.71, 1217.56, 1232.18
01/24/14, 1276.04, 1276.04, 1237.17, 1237.44
01/23/14, 1303.70, 1303.70, 1279.01, 1285.16
01/22/14, 1304.55, 1307.49, 1298.92, 1304.11
01/21/14, 1313.79, 1316.65, 1294.77, 1300.16
01/17/14, 1338.15, 1339.87, 1324.31, 1327.06
01/16/14, 1341.34, 1345.59, 1329.91, 1331.24
01/15/14, 1316.05, 1327.46, 1316.05, 1324.65
01/14/14, 1304.98, 1314.17, 1301.62, 1314.09
01/13/14, 1315.28, 1321.88, 1296.53, 1300.34
01/10/14, 1307.37, 1316.42, 1307.37, 1315.54
01/09/14, 1317.11, 1317.34, 1298.89, 1302.84
01/08/14, 1320.78, 1323.72, 1314.02, 1318.59
01/07/14, 1331.98, 1333.63, 1317.98, 1320.55
01/06/14, 1341.62, 1341.62, 1323.96, 1327.56
01/03/14, 1354.01, 1356.31, 1341.91, 1347.58
01/02/14, 1367.98, 1367.98, 1345.11, 1351.28
12/31/13, 1376.02, 1384.32, 1375.03, 1380.24
12/30/13, 1379.09, 1386.24, 1373.06, 1375.22
12/27/13, 1363.20, 1378.72, 1361.40, 1378.72
12/26/13, 1356.92, 1364.29, 1355.21, 1356.39
12/24/13, 1340.88, 1360.01, 1340.35, 1355.70
12/23/13, 1321.31, 1342.43, 1321.31, 1340.77
12/20/13, 1339.09, 1339.28, 1321.31, 1321.31
12/19/13, 1323.97, 1344.63, 1323.50, 1338.86
12/18/13, 1311.73, 1329.69, 1300.95, 1324.46
12/17/13, 1312.88, 1316.49, 1305.28, 1310.60
12/16/13, 1303.87, 1313.22, 1303.11, 1309.94
12/13/13, 1293.93, 1299.52, 1291.95, 1298.07
12/12/13, 1296.42, 1296.42, 1281.31, 1290.04
12/11/13, 1323.79, 1323.79, 1293.20, 1295.59
12/10/13, 1334.10, 1338.90, 1324.27, 1326.02
12/09/13, 1321.65, 1336.02, 1321.46, 1333.91
12/06/13, 1325.07, 1330.37, 1315.34, 1319.14
12/05/13, 1309.71, 1320.92, 1307.81, 1312.28
12/04/13, 1296.82, 1309.49, 1294.65, 1305.68
12/03/13, 1292.58, 1308.49, 1287.80, 1294.59
12/02/13, 1308.39, 1311.03, 1295.00, 1295.28
11/29/13, 1306.46, 1314.28, 1306.43, 1308.09
11/27/13, 1293.66, 1298.09, 1288.57, 1290.63
